f,a,x,y,v,x_abs,y_abs,second
7,23,0.48639464378356934,0.5812813639640808,0.9978775382041931,0.23249663972854615,0.4940891593694687,0.11786464135021098
7,16,0.4943430721759796,0.5984424352645874,0.9592788219451904,0.23629598850011826,0.5086760699748993,0.11786464135021098
7,15,0.5097315907478333,0.5677521228790283,0.14991208910942078,0.24365170037746428,0.4825893044471741,0.11786464135021098
7,12,0.40222132205963135,0.29216137528419495,0.9999579787254333,0.1922617919445038,0.24833716899156572,0.11786464135021098
7,11,0.4752265214920044,0.2934713065624237,0.9990113973617554,0.2271582772731781,0.24945061057806014,0.11786464135021098
8,28,0.41122421622276306,0.9102154970169067,0.9113850593566895,0.19656517535448073,0.7736831724643707,0.13470244725738398
8,27,0.4261398911476135,0.890947699546814,0.57167649269104,0.20369486796855926,0.7573055446147918,0.13470244725738398
8,24,0.44037407636642456,0.5870153307914734,0.9992021918296814,0.21049880850315095,0.49896303117275237,0.13470244725738398
8,23,0.48625707626342773,0.5832114219665527,0.9978106021881104,0.23243088245391846,0.49572970867156985,0.13470244725738398
8,16,0.4941488802433014,0.5987908244132996,0.9579258561134338,0.23620316475629807,0.5089722007513047,0.13470244725738398
8,15,0.5095068216323853,0.5679206848144531,0.14264555275440216,0.24354426074028016,0.48273258209228515,0.13470244725738398
8,12,0.4019947350025177,0.29210156202316284,0.9999569654464722,0.19215348333120347,0.24828632771968842,0.13470244725738398
8,11,0.4746723175048828,0.29329249262809753,0.9989511966705322,0.226893367767334,0.2492986187338829,0.13470244725738398
9,28,0.40823256969451904,0.912409782409668,0.9015361070632935,0.1951351683139801,0.7755483150482178,0.15154025316455697
9,27,0.4267357587814331,0.8922092318534851,0.5486066341400146,0.20397969269752503,0.7583778470754623,0.15154025316455697
9,24,0.44412219524383545,0.5889489054679871,0.9991728067398071,0.21229040932655335,0.500606569647789,0.15154025316455697
9,23,0.48873984813690186,0.5857002139091492,0.9977535605430603,0.23361764740943908,0.4978451818227768,0.15154025316455697
9,16,0.49407538771629333,0.5995975732803345,0.9561564326286316,0.2361680353283882,0.5096579372882843,0.15154025316455697
9,15,0.5097594857215881,0.5685462355613708,0.13730275630950928,0.24366503417491914,0.4832643002271652,0.15154025316455697
9,12,0.40366652607917786,0.2920457422733307,0.9999557137489319,0.192952599465847,0.2482388809323311,0.15154025316455697
9,11,0.4747019112110138,0.29339858889579773,0.9988897442817688,0.2269075135588646,0.24938880056142806,0.15154025316455697
10,28,0.405480295419693,0.9128692150115967,0.8904525637626648,0.19381958121061324,0.7759388327598572,0.16837805907172995
10,27,0.42687684297561646,0.8956103324890137,0.5207369327545166,0.20404713094234467,0.7612687826156617,0.16837805907172995
10,24,0.4470106065273285,0.5886393785476685,0.9991555213928223,0.21367106992006302,0.5003434717655182,0.16837805907172995
10,23,0.4886142909526825,0.5855437517166138,0.9977285861968994,0.23355763107538224,0.4977121889591217,0.16837805907172995
10,16,0.49394506216049194,0.599984884262085,0.9546500444412231,0.23610573971271515,0.5099871516227722,0.16837805907172995
10,15,0.5093728303909302,0.5684603452682495,0.1301582008600235,0.24348021292686461,0.4831912934780121,0.16837805907172995
10,12,0.4048903286457062,0.29191312193870544,0.9999548196792603,0.19353757709264754,0.24812615364789964,0.16837805907172995
10,11,0.47479915618896484,0.2933792471885681,0.9988369345664978,0.2269539966583252,0.2493723601102829,0.16837805907172995
11,28,0.39799144864082336,0.9129233956336975,0.8814451098442078,0.19023991245031358,0.7759848862886429,0.18521586497890297
11,27,0.43222251534461975,0.8952864408493042,0.4954175055027008,0.20660236233472823,0.7609934747219086,0.18521586497890297
